label,duration_sec
bonafide,2.655
bonafide,1.945
bonafide,1.83
bonafide,2.455
bonafide,2.06
bonafide,3.685
bonafide,3.7
bonafide,2.375
bonafide,1.89
bonafide,2.065
bonafide,1.745
bonafide,2.51
bonafide,3.08
bonafide,2.39
bonafide,1.89
bonafide,2.115
bonafide,2.655
bonafide,2.49
bonafide,1.39
bonafide,2.36
bonafide,1.775
bonafide,1.475
bonafide,2.075
bonafide,3.325
bonafide,2.085
bonafide,3.26
bonafide,2.765
bonafide,1.46
bonafide,3.125
bonafide,3.405
bonafide,2.18
bonafide,1.74
bonafide,2.05
bonafide,2.74
bonafide,2.69
bonafide,1.8
bonafide,2.49
bonafide,4.525
bonafide,3.69
bonafide,3.195
bonafide,1.31
bonafide,2.475
bonafide,2.6
bonafide,1.535
bonafide,2.735
bonafide,1.855
bonafide,1.76
bonafide,3.61
bonafide,3.71
bonafide,2.025
bonafide,1.615
bonafide,1.805
bonafide,1.315
bonafide,1.535
bonafide,2.375
bonafide,1.815
bonafide,2.675
bonafide,1.345
bonafide,2.505
bonafide,1.985
bonafide,1.78
bonafide,3.14
bonafide,2.47
bonafide,1.485
bonafide,4.125
bonafide,1.755
bonafide,1.65
bonafide,2.5
bonafide,3.165
bonafide,1.91
bonafide,1.62
bonafide,4.265
bonafide,3.31
bonafide,1.715
bonafide,1.68
bonafide,2.45
bonafide,2.135
bonafide,1.4
bonafide,3.785
bonafide,2.025
bonafide,1.855
bonafide,2.655
bonafide,2.0
bonafide,1.285
bonafide,1.86
bonafide,1.79
bonafide,2.15
bonafide,3.18
bonafide,2.145
bonafide,1.97
bonafide,2.15
bonafide,3.045
bonafide,2.025
bonafide,2.675
bonafide,2.6
bonafide,2.12
bonafide,2.625
bonafide,1.9
bonafide,1.975
bonafide,1.905
bonafide,3.585
bonafide,1.545
bonafide,1.295
bonafide,2.235
bonafide,3.585
bonafide,2.585
bonafide,1.565
bonafide,1.265
bonafide,2.12
bonafide,2.545
bonafide,3.135
bonafide,1.94
bonafide,2.14
bonafide,1.845
bonafide,2.965
bonafide,1.555
bonafide,2.505
bonafide,3.3
bonafide,1.96
bonafide,1.96
bonafide,2.54
bonafide,1.75
bonafide,2.62
bonafide,1.95
bonafide,1.935
bonafide,1.775
bonafide,2.485
bonafide,2.705
bonafide,1.97
bonafide,1.81
bonafide,2.46
bonafide,2.68
bonafide,1.73
bonafide,2.405
bonafide,1.89
bonafide,1.58
bonafide,2.68
bonafide,2.835
bonafide,2.05
bonafide,1.52
bonafide,1.485
bonafide,1.94
bonafide,2.64
bonafide,4.935
bonafide,1.86
bonafide,2.13
bonafide,2.665
bonafide,1.845
bonafide,1.415
bonafide,2.68
bonafide,1.99
bonafide,2.035
bonafide,2.0
bonafide,2.835
bonafide,2.175
bonafide,3.49
bonafide,2.215
bonafide,1.845
bonafide,2.685
bonafide,2.535
bonafide,1.365
bonafide,2.49
bonafide,2.13
bonafide,3.47
bonafide,2.975
bonafide,2.0
bonafide,1.475
bonafide,3.735
bonafide,2.17
bonafide,1.925
bonafide,2.975
bonafide,1.59
bonafide,2.02
bonafide,3.845
bonafide,1.805
bonafide,2.115
bonafide,3.775
bonafide,2.37
bonafide,2.905
bonafide,1.965
bonafide,3.615
bonafide,1.305
bonafide,1.53
bonafide,2.03
bonafide,2.535
