C,gamma,eer,threshold,fit_seconds,score_seconds,n_support
0.1,scale,0.1116342688035302,0.22817001198982312,200.52092218399048,130.74568819999695,18548
0.1,0.001,0.13628438429391015,0.29718956598636925,258.51593542099,151.0914490222931,22800
0.1,0.01,0.1119687602377586,0.20191561065388441,219.36228156089783,121.34694409370422,18802
0.1,0.1,0.22997660854346713,-0.7620975090530471,794.3589556217194,321.74684405326843,48412
1.0,scale,0.09895819816200851,0.04858707746887958,128.80133032798767,79.50582695007324,13478
1.0,0.001,0.11651676049202174,0.25734847690552787,185.77336192131042,99.60140085220337,16847
1.0,0.01,0.0996210313228867,-0.002780038420453268,150.2013590335846,80.8871443271637,13744
1.0,0.1,0.1910943959426223,-0.6296134114698116,1984.6828582286835,311.5824329853058,46648
10.0,scale,0.1078299882309266,-0.35291516679110524,199.39593648910522,66.57274007797241,10301
10.0,0.001,0.10344125976101519,0.18155714945637413,137.88538479804993,76.7787036895752,13068
10.0,0.01,0.10904172510769514,-0.3888120396644006,232.68011379241943,61.6190459728241,10677
10.0,0.1,0.18808282584140976,-0.6333350251797311,2015.0890164375305,306.91324520111084,46600
100.0,scale,0.12582717328220988,-0.6008460012771426,223.49986457824707,48.506510496139526,8730
100.0,0.001,0.10336652294781248,-0.015096138685965599,131.23161816596985,62.01079320907593,10126
100.0,0.01,0.12595705059272272,-0.5852012297727611,234.27818393707275,52.608705282211304,9266
100.0,0.1,0.18797254484678955,-0.6333416852258894,1697.89511179924,360.0958445072174,46597
