epoch,train_loss,train_eer,dev_eer,dev_threshold,lr,seconds
1,0.5402446764085284,0.13090382819794583,0.14423358658092433,1.8671345710754395,0.001,367.9037239551544
2,0.43559360890501886,0.08689449112978523,0.0930391892466251,0.5235581398010254,0.001,376.2164294719696
3,0.39464527169068364,0.09932959850606912,0.11958347109054439,0.6536304950714111,0.001,376.267431974411
4,0.36989434446465996,0.09999999999999999,0.1158441291731972,3.5284583568573,0.001,377.2192904949188
5,0.34980617512509404,0.07318207282913167,0.08214085425644393,-0.11449670046567917,0.001,374.8207850456238
6,0.3391322163067468,0.16519140989729225,0.1667138332312143,-8.520556449890137,0.001,374.48987889289856
7,0.32725867765988487,0.10751073762838467,0.12624619968758732,4.228291034698486,0.001,373.3100790977478
8,0.31529856498345393,0.06341549953314657,0.0839627850539914,1.2383615970611572,0.001,375.2405650615692
9,0.3079469262525065,0.060670401493930895,0.08296546045888481,3.0499978065490723,0.0005,374.3069133758545
10,0.2810184869829873,0.06934080298786183,0.09276963646765311,3.2023136615753174,0.0005,377.41934466362
11,0.26947778944710726,0.10186181139122313,0.12227649762305341,5.093745708465576,0.0005,382.288290977478
12,0.26288082965244136,0.048362278244631206,0.07136145122567245,0.4857490062713623,0.0005,381.1963438987732
13,0.2600802961281589,0.045223155929038264,0.06583572269219527,1.5227988958358765,0.0005,374.79596424102783
14,0.25445708911967585,0.07105322128851539,0.09198672415420836,4.295656681060791,0.0005,382.18946504592896
15,0.25431874553171907,0.042351073762838476,0.06657944237385485,1.0418424606323242,0.0005,373.79846930503845
16,0.24891147841372493,0.047021475256769404,0.07257318810244098,1.092864990234375,0.0005,379.02409529685974
17,0.24784236640299112,0.05154248366013074,0.07848239885987808,2.4393162727355957,0.00025,372.89109683036804
18,0.233494655693288,0.05270214752567692,0.07876174979679638,3.2020959854125977,0.00025,386.10755348205566
19,0.23178710344170617,0.04732959850606909,0.07246290710782072,1.4396705627441406,0.00025,376.35751700401306
20,0.2268535349949674,0.04161718020541548,0.06987036341198566,2.1697826385498047,0.00025,367.1777708530426
21,0.22716792773746058,0.040915032679738575,0.06957141615917473,2.2666893005371094,0.000125,367.0388991832733
