epoch,train_loss,train_eer,dev_eer,dev_threshold,lr,seconds
1,0.33482778682239644,0.03471335200746965,0.035705221007702015,2.45483660697937,0.001,902.402281999588
2,0.19665175377316407,0.018627450980392174,0.02166793986300631,0.9292767643928528,0.001,898.8413407802582
3,0.16137742824722373,0.13224463118580765,0.1489408586195392,-0.15497314929962158,0.001,934.2561273574829
4,0.14632628690051616,0.012978524743230625,0.01739929054566148,2.5553393363952637,0.001,911.3576426506042
5,0.13299910401706588,0.011723622782446291,0.01819200101705254,-0.6278409361839294,0.001,871.1298413276672
6,0.12246384110506953,0.011297852474323045,0.016486500921703853,0.3614577651023865,0.001,869.2736663818359
7,0.11326428209953623,0.008000000000000004,0.014576386702639641,0.4026297330856323,0.001,872.242178440094
8,0.10927190603741718,0.012946778711484593,0.022934817237084952,0.14350932836532593,0.001,870.2429163455963
9,0.10219472005497325,0.007574229691876757,0.013559465791640381,1.3397631645202637,0.001,870.4199776649475
10,0.09725682734433533,0.010351073762838458,0.014595983018532252,0.0030688978731632233,0.001,871.9075260162354
11,0.09619357370664834,0.007882352941176448,0.012217851604359023,1.2136237621307373,0.001,873.0808339118958
12,0.08839074060351854,0.009617180205415521,0.020401062488927722,2.1244490146636963,0.001,873.2099606990814
13,0.08647309051650935,0.005925303454715209,0.01133080800387264,1.607019066810608,0.001,873.0100409984589
14,0.0813675253986185,0.0076918767507002574,0.01637621992708365,0.9586206078529358,0.001,873.1937370300293
15,0.07781616661500453,0.005925303454715209,0.01480059714224784,0.5198384523391724,0.001,872.6424453258514
16,0.07559012559722733,0.0037236227824462877,0.01166894788846878,-1.236017107963562,0.001,873.5802319049835
17,0.07175539159279615,0.004765639589169026,0.009040860011216165,1.0493229627609253,0.001,873.1554963588715
18,0.07123257518738252,0.004298786181139122,0.011184982827834887,2.239258050918579,0.001,872.9969675540924
19,0.06774153896087126,0.00445751633986928,0.01093137791438777,4.164766788482666,0.001,872.8245589733124
20,0.06824062099199937,0.004638655462184899,0.010876237417077666,-0.3559844493865967,0.001,873.2867341041565
21,0.06578483040486138,0.0035107376283846923,0.011275667506562536,0.9371112585067749,0.0005,873.7707178592682
22,0.05322943757024784,0.0032661064425770093,0.009774781534929387,-0.3651652932167053,0.0005,873.709201335907
23,0.04948464078036748,0.0023828197945844854,0.00797859676085311,-0.49340328574180603,0.0005,873.0223758220673
24,0.048065891881001944,0.002840336134453763,0.00920628150314653,1.7270991802215576,0.0005,872.7560255527496
25,0.045795808522626685,0.002840336134453763,0.008910982700703347,1.3054448366165161,0.0005,872.3678431510925
26,0.046691247926328575,0.0025957049486461364,0.009459886416593594,0.7721313238143921,0.0005,873.4311909675598
27,0.04470144831977285,0.0023510737628384534,0.009170737321728984,-0.4199896454811096,0.00025,872.5808889865875
28,0.03820963030631234,0.0021064425770308264,0.008216253808775296,1.0418952703475952,0.00025,873.1151368618011
29,0.036878467167086294,0.0018935574229691754,0.008686772261095148,4.025400161743164,0.00025,873.7718954086304
30,0.03552817030352636,0.0009561157796452146,0.00833268451097413,0.045763298869132996,0.00025,874.0725133419037
