factor,level,convention,eer,threshold,n_bonafide,n_spoof,far_at_global_thr
room,R1,within-group,0.38161921872120874,8.02127456665039,9648,64800,0.40780864197530864
room,R2,within-group,0.41659169430624654,8.05519962310791,9648,64800,0.44959876543209876
room,R3,within-group,0.3757253470302807,11.937336921691895,12060,77760,0.7515560699588477
room,R4,within-group,0.38847325870646765,4.066440105438232,9648,64800,0.17645061728395062
room,R5,within-group,0.3964452045328911,2.7442550659179688,9648,64800,0.15430555555555556
room,R6,within-group,0.3111561213991769,8.579157829284668,12060,77760,0.38315329218106997
room,R7,within-group,0.40059636232418155,2.5782830715179443,9648,62208,0.12467849794238683
room,R8,within-group,0.41158840799310326,7.755594730377197,9648,72576,0.42154431216931215
room,R9,within-group,0.37896263282353665,9.47771167755127,12060,77760,0.5881944444444445
mic,M1,within-group,0.37735573661413213,9.487279891967773,31356,209088,0.5325413223140496
mic,M2,within-group,0.3692681037491078,9.081320762634277,31356,209088,0.4876080884603612
mic,M3,within-group,0.42266084405882576,3.239922523498535,31356,209088,0.1722480486685032
dist,d1,pooled-bonafide,0.41371116555563636,7.871156215667725,94068,104544,0.42983815426997246
dist,d2,pooled-bonafide,0.39984991295201605,7.668680667877197,94068,104544,0.4024429905111723
dist,d3,pooled-bonafide,0.38950326772579147,7.52077579498291,94068,104544,0.3812174778083869
dist,d4,pooled-bonafide,0.3749218738194315,7.3028950691223145,94068,104544,0.35238751147842057
dist,d5,pooled-bonafide,0.4016675382007811,7.6970744132995605,94068,104544,0.40612565044383225
dist,d6,pooled-bonafide,0.40515185164099676,7.745975017547607,94068,104544,0.41278313437404346
r,r1,pooled-bonafide,0.4352775385891058,8.176300048828125,94068,67392,0.4751009021842355
r,r2,pooled-bonafide,0.44201888490536395,8.269777297973633,94068,62208,0.4904192386831276
r,r3,pooled-bonafide,0.5244604523677907,9.3629150390625,94068,77760,0.6619727366255144
r,r4,pooled-bonafide,0.31851317737641327,6.370438098907471,94068,62208,0.24540252057613168
r,r5,pooled-bonafide,0.27946339350257265,5.645327568054199,94068,67392,0.1780181623931624
r,r6,pooled-bonafide,0.35566333810529505,6.987345218658447,94068,77760,0.308179012345679
r,r7,pooled-bonafide,0.3613725945297256,7.079182147979736,94068,77760,0.3252957818930041
r,r8,pooled-bonafide,0.4027199656460758,7.711602687835693,94068,69984,0.40913637402834935
r,r9,pooled-bonafide,0.4255049804396819,8.040911674499512,94068,64800,0.4654320987654321
m,m1,pooled-bonafide,0.42553475760979476,8.041101455688477,94068,208224,0.45557188412478866
m,m2,pooled-bonafide,0.4120219488718311,7.849943161010742,94068,210816,0.42809369307832423
m,m3,pooled-bonafide,0.3535952191246131,6.955452919006348,94068,208224,0.308350622406639
s,s2,pooled-bonafide,0.3684897863484099,7.2006120681762695,94068,202176,0.3385861823361823
s,s3,pooled-bonafide,0.3170440191195788,6.345245838165283,94068,191808,0.244457999666333
s,s4,pooled-bonafide,0.47622051925793635,8.726126670837402,94068,233280,0.574301268861454
c,c2,pooled-bonafide,0.39738214901461166,7.634153842926025,94068,199584,0.39728635561968895
c,c3,pooled-bonafide,0.3729943384736071,7.27220344543457,94068,208224,0.3482115414169356
c,c4,pooled-bonafide,0.42074687646380116,7.973865509033203,94068,219456,0.4443624234470691
