partition,system,eer,n
hidden,flatten_T400,0.5079495782404848,134730
hidden,T400,0.5173998832995517,134730
hidden,cmvn_T400,0.5388174226603608,134730
hidden,flatten_T400_aug1,0.3002796588047417,134730
hidden,flatten_T400_aug,0.3093435855700919,134730
hidden,baseline_T250,0.5007770432815346,134730
hidden,T150,0.4839021840386544,134730
hidden,MFCC-SVM,0.5205294898961981,134730
hidden,MFCC-RF,0.4112704865589747,134730
progress,flatten_T400,0.3753725379386138,87048
progress,T400,0.3636363075495538,87048
progress,cmvn_T400,0.42524974334675825,87048
progress,flatten_T400_aug1,0.32041039017873596,87048
progress,flatten_T400_aug,0.29795220326936744,87048
progress,baseline_T250,0.3268339190291927,87048
progress,T150,0.3197273182697623,87048
progress,MFCC-SVM,0.49710905212693146,87048
progress,MFCC-RF,0.4441823414343626,87048
