system,kind,n_trials,dev_eer_2019,eer,threshold,accuracy,precision_bonafide,recall_bonafide,f1_bonafide,roc_auc,tp_bonafide_accepted,fn_bonafide_rejected,tn_spoof_rejected,fp_spoof_accepted
flatten_T400_aug,this project,721332,0.02353,0.32664771435053547,4.012462139129639,0.6733515219066948,0.23613907156384675,0.6733533188757069,0.3496566419360537,0.7397566373932504,63341,30727,422369,204895
flatten_T400_aug1,this project,721332,0.01486,0.34006173556998975,4.969139575958252,0.6599388353767752,0.22542458431225876,0.6599374920270442,0.3360571652839994,0.7220825577638813,62079,31989,413956,213308
T150,this project,721332,0.06584,0.34419949002222294,1.6895465850830078,0.6557992713480062,0.2222302274896882,0.6558021856529319,0.3319674005752523,0.7077678037726477,61690,32378,411359,215905
baseline_T250,this project,721332,0.0278,0.3581564071126203,3.0471746921539307,0.641843145735944,0.2118223662975905,0.6418441978143471,0.31852473199966236,0.6918096206285088,60377,33691,402605,224659
T400,this project,721332,0.00902,0.3803093790161294,7.229628562927246,0.6196910715176923,0.19637388957948035,0.6196900114810563,0.298238747553816,0.6642311985123261,58293,35775,388710,238554
CQCC-GMM,official baseline,721332,,0.3806827360967173,0.783145,0.6193167639866247,0.19612384572138417,0.6193179402134626,0.2979072651266252,0.6684413838172154,58258,35810,388475,238789
LFCC-GMM,official baseline,721332,,0.3953972624398902,0.639742,0.6046009327189145,0.1865369603862326,0.6046051792320449,0.28510986008692557,0.6474585779941759,56874,37194,379244,248020
flatten_T400,this project,721332,0.00798,0.39746680453656935,7.6353230476379395,0.6025339233529082,0.18522851680583016,0.6025322107411659,0.2833503723163602,0.6382994993199507,56679,37389,377948,249316
cmvn_T400,this project,721332,0.01293,0.43467577170158017,19.032825469970703,0.5653235957922288,0.1632078714445304,0.5653250839818004,0.2532912284712696,0.5854976475080003,53179,40889,354607,272657
LFCC-LCNN,official baseline,721332,,0.44768401504960187,5.850946,0.5523101706287812,0.15612857859767953,0.5523238508313135,0.24344199885204232,0.5734905047028275,51956,42112,346443,280821
MFCC-RF,this project,721332,0.11736,0.4583281022250945,0.38999998569488525,0.5387879644879195,0.1503863611722406,0.5455734149764001,0.23578029490339492,0.5585643172372169,51321,42747,337324,289940
RawNet2,official baseline,721332,,0.4860529164047086,-0.113585352897644,0.5139547392878729,0.136868598218684,0.5139367266232938,0.21616848129848645,0.5188232856869629,48345,45723,322387,304877
MFCC-SVM,this project,721332,0.09216,0.4963461477694291,-0.6502999663352966,0.5036515779141921,0.13207515611061552,0.5036569290300633,0.2092723305387952,0.50655808550995,47378,46690,315922,311342
