axis,tag,p_clean,copies,n_frames,augmented,progress_eer,dev_eer
dose,T150,1.0,0,150,False,31.97273182697623,6.583572269219527
dose,timepool_T150_pc50,0.5,1,150,True,29.25636162770802,7.546103060071924
dose,timepool_T150_aug,0.25,3,150,True,29.359166880544368,8.906948718209113
dose,timepool_T150_pc12,0.125,7,150,True,29.297759302034798,9.4046311999678
dose,timepool_T150_pc06,0.0625,15,150,True,29.277060464871408,9.820103187203495
window,timepool_T75_aug,0.25,3,75,True,32.91175776211534,11.04776724240718
window,timepool_T100_aug,0.25,3,100,True,31.68501490563058,9.713261891409328
window,timepool_T150_aug,0.25,3,150,True,29.359166880544368,8.906948718209113
window,T150,1.0,0,150,False,31.97273182697623,6.583572269219527
window,baseline_T250,1.0,0,250,False,32.68339190291927,2.7801361060051617
window,T400,1.0,0,400,False,36.36363075495538,0.9021263695323554
