stratum,n_frames_lo,n_frames_hi,median_frames,n_trials,n_bonafide,arm,T,system,eer
0,23,111,99.0,18442,3112,augmented,75,timepool_T75_aug,33.804055005810476
0,23,111,99.0,18442,3112,augmented,100,timepool_T100_aug,35.186142650883646
0,23,111,99.0,18442,3112,augmented,150,timepool_T150_aug,31.32400597313264
0,23,111,99.0,18442,3112,unaugmented,150,T150,33.88487130598974
0,23,111,99.0,18442,3112,unaugmented,250,baseline_T250,34.45457015077045
0,23,111,99.0,18442,3112,unaugmented,400,T400,38.17742316844335
1,111,128,120.0,17023,3503,augmented,75,timepool_T75_aug,31.17835599916893
1,111,128,120.0,17023,3503,augmented,100,timepool_T100_aug,29.522091799590207
1,111,128,120.0,17023,3503,augmented,150,timepool_T150_aug,28.74839423351413
1,111,128,120.0,17023,3503,unaugmented,150,T150,30.568481453766594
1,111,128,120.0,17023,3503,unaugmented,250,baseline_T250,33.121585766722355
1,111,128,120.0,17023,3503,unaugmented,400,T400,36.3685849576103
2,128,151,141.0,17212,2750,augmented,75,timepool_T75_aug,33.77999773701613
2,128,151,141.0,17212,2750,augmented,100,timepool_T100_aug,31.16749097949485
2,128,151,141.0,17212,2750,augmented,150,timepool_T150_aug,29.558474245986343
2,128,151,141.0,17212,2750,unaugmented,150,T150,32.30939766912662
2,128,151,141.0,17212,2750,unaugmented,250,baseline_T250,33.30507788436152
2,128,151,141.0,17212,2750,unaugmented,400,T400,37.60445304937077
3,151,190,169.0,17140,2638,augmented,75,timepool_T75_aug,32.251557888175
3,151,190,169.0,17140,2638,augmented,100,timepool_T100_aug,31.04856834470768
3,151,190,169.0,17140,2638,augmented,150,timepool_T150_aug,28.087621492484004
3,151,190,169.0,17140,2638,unaugmented,150,T150,30.359172962888493
3,151,190,169.0,17140,2638,unaugmented,250,baseline_T250,30.764188861456354
3,151,190,169.0,17140,2638,unaugmented,400,T400,35.6002816374495
4,190,448,214.0,17231,2469,augmented,75,timepool_T75_aug,33.49336953676064
4,190,448,214.0,17231,2469,augmented,100,timepool_T100_aug,32.06990774480403
4,190,448,214.0,17231,2469,augmented,150,timepool_T150_aug,29.520547403986097
4,190,448,214.0,17231,2469,unaugmented,150,T150,32.96930028821278
4,190,448,214.0,17231,2469,unaugmented,250,baseline_T250,32.151054871491716
4,190,448,214.0,17231,2469,unaugmented,400,T400,35.19745919720206
