stratum,arm,T,vs,median_frames,diff_pp,lo,hi,excludes_zero,sign_consistency,B
0,augmented,75,150,99.0,2.4053722782130325,0.8584955144698483,4.072530191741686,True,0.999,1000
0,augmented,100,150,99.0,3.7611711066235203,2.1883458443861303,5.325301661264681,True,1.0,1000
0,unaugmented,250,150,99.0,0.546438421396476,-1.4851448776870546,2.5669188325695442,False,0.694,1000
0,unaugmented,400,150,99.0,4.401925715475554,2.5148035155151893,6.449141389723054,True,1.0,1000
1,augmented,75,150,120.0,2.4984029179618483,0.937033593326586,4.1066445689959945,True,0.999,1000
1,augmented,100,150,120.0,0.9365291153043863,-0.4037478785015839,2.3939491174293517,False,0.9,1000
1,unaugmented,250,150,120.0,2.5353894327867192,0.7977717223620585,4.233123284858213,True,1.0,1000
1,unaugmented,400,150,120.0,5.7841931016721135,4.071550013550342,7.4220763669169685,True,1.0,1000
2,augmented,75,150,141.0,4.1348503150678555,2.189096830048879,6.2194460232158475,True,1.0,1000
2,augmented,100,150,141.0,1.685025770457597,0.39354173579639523,3.0555477014649686,True,0.992,1000
2,unaugmented,250,150,141.0,0.7441318003578501,-1.059265347156485,2.3586924745229854,False,0.811,1000
2,unaugmented,400,150,141.0,5.174467790827104,3.1007661911149076,7.133879476352759,True,1.0,1000
3,augmented,75,150,169.0,4.124937083135656,1.402693504208099,6.512927898660598,True,0.998,1000
3,augmented,100,150,169.0,2.897033856755452,0.8922012236150494,4.813265126414649,True,1.0,1000
3,unaugmented,250,150,169.0,0.37924921002237333,-0.9813227726432465,1.7204464017052172,False,0.713,1000
3,unaugmented,400,150,169.0,5.3373610294427145,3.7046604179389306,7.081088152678303,True,1.0,1000
4,augmented,75,150,214.0,3.9209874926081385,1.5730308802421245,6.106375457663458,True,1.0,1000
4,augmented,100,150,214.0,2.417492173338748,0.7127770496892035,4.144675026902068,True,0.994,1000
4,unaugmented,250,150,214.0,-0.7087809606884357,-2.2971231191557284,0.8661065282304242,False,0.819,1000
4,unaugmented,400,150,214.0,2.384202336626554,0.6271618946685935,4.199725289030947,True,0.999,1000
