seed,n_folds,candidate,n_systems,cv_eer,cv_eer_se,threshold,headroom,in_1se_band,is_best,selected
42,5,ours+all,6,26.36777021846466,0.6357273689817786,27.00349758744644,0.6357273689817795,True,True,False
42,5,ours+4base,5,26.64056815098482,0.4766383113750766,27.00349758744644,0.36292943646162,True,False,False
42,5,ours+2GMM,3,26.841234254428702,0.4504430190960893,27.00349758744644,0.1622633330177372,True,False,True
42,5,ours,1,29.37540507332174,0.6933609409125735,27.00349758744644,-2.371907485875301,False,False,False
43,5,ours+all,6,26.23059964726632,0.6585244115370443,26.889124058803365,0.6585244115370443,True,True,False
43,5,ours+4base,5,26.575351603129384,0.575375679369336,26.889124058803365,0.3137724556739805,True,False,False
43,5,ours+2GMM,3,26.840648035092478,0.5606573397951219,26.889124058803365,0.04847602371088655,True,False,True
43,5,ours,1,29.339093519649076,0.3884933603191462,26.889124058803365,-2.449969460845711,False,False,False
44,5,ours+all,6,26.136668115834784,0.724342151055176,26.86101026688996,0.7243421510551755,True,True,False
44,5,ours+4base,5,26.47181843362399,0.7905047103407513,26.86101026688996,0.3891918332659685,True,False,False
44,5,ours+2GMM,3,26.618584604695712,0.9303753067113629,26.86101026688996,0.24242566219424688,True,False,True
44,5,ours,1,28.94590812993591,1.0934427211977553,26.86101026688996,-2.084897863045949,False,False,False
45,5,ours+all,6,26.4528879042768,0.6834584767031879,27.136346380979987,0.683458476703187,True,True,False
45,5,ours+4base,5,26.943834200778646,0.7924140072924043,27.136346380979987,0.19251218020134075,True,False,False
45,5,ours+2GMM,3,27.084088622283065,0.8156291954198905,27.136346380979987,0.052257758696921286,True,False,True
45,5,ours,1,29.465671802477356,0.5809456669153704,27.136346380979987,-2.3293254214973693,False,False,False
46,5,ours+all,6,26.38022882467327,0.8051263118048494,27.18535513647812,0.8051263118048482,True,True,False
46,5,ours+4base,5,26.60859562248451,0.8581167462778128,27.18535513647812,0.5767595139936077,True,False,False
46,5,ours+2GMM,3,26.90166417944196,0.8672127618758367,27.18535513647812,0.28369095703616054,True,False,True
46,5,ours,1,29.305792972459642,0.745543614025394,27.18535513647812,-2.120437835981523,False,False,False
47,5,ours+all,6,26.066109816109815,0.918089639195976,26.98419945530579,0.9180896391959763,True,True,False
47,5,ours+4base,5,26.358595108595107,0.9947644782423685,26.98419945530579,0.6256043467106842,True,False,False
47,5,ours+2GMM,3,26.56219808997587,1.0239849328219963,26.98419945530579,0.4220013653299226,True,False,True
47,5,ours,1,28.969184108072994,1.1647261292594846,26.98419945530579,-1.9849846527672028,False,False,False
48,5,ours+all,6,26.391485058151726,0.3589093500096345,26.750394408161362,0.3589093500096361,True,True,False
48,5,ours+4base,5,26.7084751668085,0.3182469304782707,26.750394408161362,0.04191924135286129,True,False,True
48,5,ours+2GMM,3,26.945332445332447,0.39548243703857955,26.750394408161362,-0.1949380371710845,False,False,False
48,5,ours,1,29.309135309135307,0.5601610109373312,26.750394408161362,-2.5587409009739446,False,False,False
49,5,ours+all,6,26.4943324606023,0.6210506870900311,27.11538314769233,0.6210506870900296,True,True,False
49,5,ours+4base,5,26.873173123173125,0.7661854298975256,27.11538314769233,0.24221002451920626,True,False,False
49,5,ours+2GMM,3,27.03266927076451,0.7708741084000454,27.11538314769233,0.08271387692781929,True,False,True
49,5,ours,1,29.269886051632078,0.9453711894868997,27.11538314769233,-2.154502903939747,False,False,False
50,5,ours+all,6,26.619401688846132,0.972577815734277,27.591979504580408,0.9725778157342759,True,True,False
50,5,ours+4base,5,26.868787077120412,0.8583953847567614,27.591979504580408,0.7231924274599955,True,False,False
50,5,ours+2GMM,3,27.103210575432797,0.8587637130086109,27.591979504580408,0.4887689291476107,True,False,True
50,5,ours,1,29.23556638834417,1.2393002315256771,27.591979504580408,-1.6435868837637635,False,False,False
51,5,ours+all,6,26.13309941087719,1.0832816882389633,27.216381099116152,1.0832816882389622,True,True,False
51,5,ours+4base,5,26.559445955279283,1.0998339685927463,27.216381099116152,0.6569351438368685,True,False,False
51,5,ours+2GMM,3,26.717741620519398,1.0939455822292814,27.216381099116152,0.49863947859675406,True,False,True
51,5,ours,1,29.242290117290118,0.9055933767730855,27.216381099116152,-2.025909018173966,False,False,False
52,5,ours+all,6,26.21656892490226,0.6724448965025747,26.889013821404834,0.6724448965025758,True,True,False
52,5,ours+4base,5,26.7123591429147,0.8367964716159898,26.889013821404834,0.1766546784901344,True,False,True
52,5,ours+2GMM,3,26.909352864213975,0.8466301229701192,26.889013821404834,-0.020339042809141006,False,False,False
52,5,ours,1,28.985976729032284,0.9231039430303252,26.889013821404834,-2.09696290762745,False,False,False
53,5,ours+all,6,26.504372427983537,0.3525134023129192,26.856885830296456,0.35251340231291906,True,True,False
53,5,ours+4base,5,26.757440219245773,0.4893869000965726,26.856885830296456,0.09944561105068317,True,False,True
53,5,ours+2GMM,3,26.973343657371437,0.4945385485583156,26.856885830296456,-0.11645782707498142,False,False,False
53,5,ours,1,29.230659900798788,0.44816284032484355,26.856885830296456,-2.373774070502332,False,False,False
54,5,ours+all,6,26.461046669380003,0.12721795766323188,26.588264627043234,0.1272179576632304,True,True,True
54,5,ours+4base,5,26.75785736896848,0.33467180472418484,26.588264627043234,-0.16959274192524632,False,False,False
54,5,ours+2GMM,3,26.943511735178408,0.31724498344706686,26.588264627043234,-0.355247108135174,False,False,False
54,5,ours,1,29.327561841450727,0.42603445442357996,26.588264627043234,-2.739297214407493,False,False,False
55,5,ours+all,6,26.718461579572686,0.2724255547118927,26.99088713428458,0.27242555471189434,True,True,False
55,5,ours+4base,5,26.96989584489584,0.3502908041591588,26.99088713428458,0.020991289388739176,True,False,True
55,5,ours+2GMM,3,27.101137031692588,0.39996773426588045,26.99088713428458,-0.11024989740800706,False,False,False
55,5,ours,1,29.40508822453267,0.7294194354622063,26.99088713428458,-2.4142010902480884,False,False,False
56,5,ours+all,6,26.521948216392662,0.9397302618499614,27.461678478242625,0.939730261849963,True,True,False
56,5,ours+4base,5,26.772690933405222,0.8739599997704118,27.461678478242625,0.6889875448374028,True,False,False
56,5,ours+2GMM,3,26.906924277956023,0.87157409431558,27.461678478242625,0.5547542002866024,True,False,True
56,5,ours,1,29.247229769055167,0.9355940277562216,27.461678478242625,-1.785551290812542,False,False,False
57,5,ours+all,6,26.269351019351017,0.6778661453954868,26.947217164746505,0.6778661453954875,True,True,False
57,5,ours+4base,5,26.630449797116466,0.5529169616473385,26.947217164746505,0.3167673676300389,True,False,False
57,5,ours+2GMM,3,26.793273084939756,0.5534599320422792,26.947217164746505,0.15394407980674885,True,False,True
57,5,ours,1,29.221324971324968,0.5894190400634487,26.947217164746505,-2.2741078065784635,False,False,False
58,5,ours+all,6,25.937054935070808,1.1629678823651766,27.100022817435985,1.1629678823651766,True,True,False
58,5,ours+4base,5,26.317339057914456,1.1026140486837828,27.100022817435985,0.7826837595215288,True,False,False
58,5,ours+2GMM,3,26.51351798921243,1.1433575208952027,27.100022817435985,0.5865048282235534,True,False,True
58,5,ours,1,28.879158851877104,1.447791217292246,27.100022817435985,-1.7791360344411196,False,False,False
59,5,ours+all,6,26.13603423325646,0.7470927722158526,26.883127005472314,0.7470927722158542,True,True,False
59,5,ours+4base,5,26.498343734454846,0.6455555951703625,26.883127005472314,0.38478327101746856,True,False,False
59,5,ours+2GMM,3,26.7389940306607,0.6746224401048735,26.883127005472314,0.14413297481161536,True,False,True
59,5,ours,1,29.063554244109802,0.7778807970641358,26.883127005472314,-2.1804272386374883,False,False,False
60,5,ours+all,6,26.39616748991749,0.4259236657155327,26.822091155633025,0.4259236657155334,True,True,False
60,5,ours+4base,5,26.656554094054094,0.4344739583360351,26.822091155633025,0.1655370615789309,True,False,True
60,5,ours+2GMM,3,26.940167471417475,0.48213031963593594,26.822091155633025,-0.11807631578444955,False,False,False
60,5,ours,1,29.334593647093648,0.5870795500973284,26.822091155633025,-2.512502491460623,False,False,False
61,5,ours+all,6,26.406884011050675,0.9765413498003674,27.383425360851042,0.9765413498003674,True,True,False
61,5,ours+4base,5,26.622346275124055,0.7977751537129202,27.383425360851042,0.7610790857269869,True,False,False
61,5,ours+2GMM,3,26.87346539777095,0.7580136189398631,27.383425360851042,0.5099599630800924,True,False,True
61,5,ours,1,29.29703848106626,0.9931914895982445,27.383425360851042,-1.9136131202152171,False,False,False
42,10,ours+all,6,26.134479717813054,0.6098116281983635,26.74429134601142,0.609811628198365,True,True,False
42,10,ours+4base,5,26.462191358024693,0.5516728085593654,26.74429134601142,0.28209998798672586,True,False,False
42,10,ours+2GMM,3,26.613591269841272,0.5913207584114767,26.74429134601142,0.13070007617014667,True,False,True
42,10,ours,1,29.381889329805993,0.6099941860523447,26.74429134601142,-2.637597983794574,False,False,False
43,10,ours+all,6,26.055059523809526,0.5498399299280432,26.60489945373757,0.5498399299280443,True,True,False
43,10,ours+4base,5,26.59024628369867,0.55851112013734,26.60489945373757,0.014653170038901209,True,False,True
43,10,ours+2GMM,3,26.84755291005291,0.5521806738944902,26.60489945373757,-0.24265345631534174,False,False,False
43,10,ours,1,29.25495244394054,0.5005404176998726,26.60489945373757,-2.650052990202969,False,False,False
44,10,ours+all,6,25.97419847568657,0.6378586053105461,26.612057080997115,0.6378586053105444,True,True,False
44,10,ours+4base,5,26.340939153439148,0.6235271855069782,26.612057080997115,0.2711179275579667,True,False,False
44,10,ours+2GMM,3,26.501110166288736,0.6645727604214441,26.612057080997115,0.11094691470837859,True,False,True
44,10,ours,1,28.85501700680272,0.8369872268261632,26.612057080997115,-2.2429599258056037,False,False,False
45,10,ours+all,6,25.995149911816576,0.8683447482282353,26.86349466004481,0.8683447482282354,True,True,False
45,10,ours+4base,5,26.470789241622573,0.9056980566912679,26.86349466004481,0.3927054184222385,True,False,False
45,10,ours+2GMM,3,26.581679894179892,0.918907883638074,26.86349466004481,0.2818147658649188,True,False,True
45,10,ours,1,29.125881834215164,0.8701943120779082,26.86349466004481,-2.262387174170353,False,False,False
