,real,simulated,no non-speech
flatten_T400,40.119453107071834,56.41540241180927,51.6084955879041
T400,39.5539163114638,54.44082314763631,53.49426990561595
cmvn_T400,43.75518187212556,58.73795886821039,49.85764336752452
flatten_T400_aug1,31.463889912414334,26.465140859488567,30.197047171549656
flatten_T400_aug,30.890381259275422,26.720883749974412,32.581920643695106
baseline_T250,37.70583843514645,48.5579689003542,51.62983948569908
T150,36.84677112424738,44.27455060090494,53.57840427492169
MFCC-SVM,49.82732565627749,56.639986794422946,53.30039616731159
MFCC-RF,41.56951740906965,44.62732633130643,37.68350889584997
CQCC-GMM,30.02190728827432,34.93735028560899,36.64808672685953
LFCC-GMM,32.15873300464549,36.47219151157791,39.094035992875135
LFCC-LCNN,49.01672864486636,48.97597915770939,51.65032604467375
RawNet2,43.946510845679775,45.519061073234646,44.26426253506131
