arm,candidate,n_systems,norm,weights,cv_eer,cv_eer_se,cv_tdcf,n_folds
dev,ours,1,fit-norm,trained,8.836391378898922,0.10894248116204208,0.292493216786918,5
dev,ours,1,apply-norm,trained,8.836391378898922,0.10894248116204208,0.292493216786918,5
dev,ours+LFCC,2,fit-norm,trained,5.151786161295506,0.17114502290300593,0.2227818592716436,5
dev,ours+LFCC,2,fit-norm,equal,5.158144935296993,0.17559138629513402,0.22188078891627935,5
dev,ours+LFCC,2,apply-norm,trained,5.136142066021781,0.1761043802229639,0.22223122637058862,5
dev,ours+LFCC,2,apply-norm,equal,5.123499362718326,0.1852834895404409,0.22196427966995547,5
dev,ours+CQTDCT,2,fit-norm,trained,8.153565559705324,0.10962114279046654,0.27705256943429446,5
dev,ours+CQTDCT,2,fit-norm,equal,8.139444427065673,0.1113967163965608,0.2768861897531953,5
dev,ours+CQTDCT,2,apply-norm,trained,8.158588826875484,0.0846324987686895,0.27664017021628184,5
dev,ours+CQTDCT,2,apply-norm,equal,8.161514707579142,0.08826992596617701,0.27672536968705497,5
dev,ours+2GMM-inhouse,3,fit-norm,trained,5.164911891903974,0.17392647298482106,0.22317674162363174,5
dev,ours+2GMM-inhouse,3,fit-norm,equal,5.320962224559617,0.15079751656334547,0.22620701187882375,5
dev,ours+2GMM-inhouse,3,apply-norm,trained,5.154512934252925,0.1864070123270708,0.22245996260702156,5
dev,ours+2GMM-inhouse,3,apply-norm,equal,5.312966430363105,0.17633171035430142,0.22590008323678176,5
progress,ours,1,fit-norm,trained,29.37540507332174,0.6933609409125735,0.779665413123092,5
progress,ours,1,apply-norm,trained,29.37540507332174,0.6933609409125735,0.779665413123092,5
progress,ours+LFCC,2,fit-norm,trained,25.397558074641406,0.5197088136975724,0.6952632186233649,5
progress,ours+LFCC,2,fit-norm,equal,25.779309039725707,0.43308879178112497,0.7071076484397102,5
progress,ours+LFCC,2,apply-norm,trained,25.408048355965022,0.48558842481566505,0.6955880742484558,5
progress,ours+LFCC,2,apply-norm,equal,25.747521125993348,0.45715529180180303,0.7075378897513531,5
progress,ours+CQTDCT,2,fit-norm,trained,29.687496274301832,0.7138763313550115,0.7894438627059684,5
progress,ours+CQTDCT,2,fit-norm,equal,30.765139053333495,0.6031443101681269,0.8478813305125017,5
progress,ours+CQTDCT,2,apply-norm,trained,29.676188908827793,0.714096934764155,0.7896731444983154,5
progress,ours+CQTDCT,2,apply-norm,equal,30.766798530687417,0.6109057624488798,0.8480695755927801,5
progress,ours+2GMM-inhouse,3,fit-norm,trained,25.51283515866849,0.5330545455282276,0.6980690008274346,5
progress,ours+2GMM-inhouse,3,fit-norm,equal,26.31300014286125,0.5182744149242776,0.7216649413987074,5
progress,ours+2GMM-inhouse,3,apply-norm,trained,25.50915468276579,0.5374505499653937,0.6979956456659838,5
progress,ours+2GMM-inhouse,3,apply-norm,equal,26.28089258992037,0.48064088257196175,0.721750764290741,5
